
Histogram for surgery.txt:
"title" appears 1 times
"author" appears 1 times
"release" appears 1 times
"march" appears 1 times
"english" appears 1 times
"encoding" appears 1 times
"utf" appears 1 times
"transcriber" appears 1 times
"symbol" appears 1 times
"transcribed" appears 1 times
"oxford" appears 1 times
"publications" appears 1 times
"eng" appears 1 times
"london" appears 1 times
"frowde" appears 1 times
"hodder" appears 1 times
"stoughton" appears 1 times
"lancet" appears 1 times
"building" appears 1 times
"bedford" appears 1 times
"britain" appears 1 times
"morrison" appears 1 times
"gibb" appears 1 times
"ltd" appears 1 times
"list" appears 1 times
"sabres" appears 1 times
"butcher" appears 1 times
"knives" appears 1 times
"scythes" appears 1 times
"bayonets" appears 1 times
"arrows" appears 1 times
"conclusion" appears 1 times
"erode" appears 1 times
"locomotor" appears 1 times
"attendants" appears 1 times
"nurses" appears 1 times
"asylums" appears 1 times
"unfairly" appears 1 times
"blamed" appears 1 times
"intimation" appears 1 times
"warding" appears 1 times
"illustrative" appears 1 times
"missed" appears 1 times
"concluding" appears 1 times
"senility" appears 1 times
"skirt" appears 1 times
"unexpected" appears 1 times
"furnishing" appears 1 times
"indentations" appears 1 times
"distraction" appears 1 times
"acted" appears 1 times
"serrated" appears 1 times
"dominant" appears 1 times
"careless" appears 1 times
"unopposed" appears 1 times
"tilt" appears 1 times
"offspring" appears 1 times
"concentrically" appears 1 times
"recesses" appears 1 times
"loops" appears 1 times
"homogeneous" appears 1 times
"deposited" appears 1 times
"rods" appears 1 times
"unyielding" appears 1 times
"ensheathing" appears 1 times
"solder" appears 1 times
"plumber" appears 1 times
"agency" appears 1 times
"giant" appears 1 times
"incorporated" appears 1 times
"surplus" appears 1 times
"faithfully" appears 1 times
"restrict" appears 1 times
"sailors" appears 1 times
"intractability" appears 1 times
"mania" appears 1 times
"consolidated" appears 1 times
"osteoclast" appears 1 times
"infectious" appears 1 times
"overestimated" appears 1 times
"dieting" appears 1 times
"congest" appears 1 times
"schmieden" appears 1 times
"patience" appears 1 times
"endothelium" appears 1 times
"secretes" appears 1 times
"overpassed" appears 1 times
"rarefied" appears 1 times
"bradawl" appears 1 times
"dyscrasia" appears 1 times
"bognaud" appears 1 times
"reinserted" appears 1 times
"trough" appears 1 times
"judged" appears 1 times
"clicking" appears 1 times
"diligent" appears 1 times
"ready" appears 1 times
"inestimable" appears 1 times
"implicitly" appears 1 times
"emanate" appears 1 times
"vacuum" appears 1 times
"sun" appears 1 times
"perpendicularly" appears 1 times
"coronal" appears 1 times
"stereoscopic" appears 1 times
"overlook" appears 1 times
"perspective" appears 1 times
"divergence" appears 1 times
"reality" appears 1 times
"weighed" appears 1 times
"bearer" appears 1 times
"pronate" appears 1 times
"supinate" appears 1 times
"ecchymosed" appears 1 times
"blebs" appears 1 times
"guides" appears 1 times
"deductions" appears 1 times
"ascertain" appears 1 times
"enfeebled" appears 1 times
"abrogation" appears 1 times
"globules" appears 1 times
"addicted" appears 1 times
"confines" appears 1 times
"disappointment" appears 1 times
"angularity" appears 1 times
"rarefaction" appears 1 times
"eventual" appears 1 times
"organisation" appears 1 times
"seams" appears 1 times
"stiffened" appears 1 times
"boards" appears 1 times
"mattresses" appears 1 times
"technically" appears 1 times
"stroking" appears 1 times
"selecting" appears 1 times
"discarding" appears 1 times
"convinced" appears 1 times
"teaching" appears 1 times
"trained" appears 1 times
"masseur" appears 1 times
"lubricant" appears 1 times
"talc" appears 1 times
"oily" appears 1 times
"lanolin" appears 1 times
"lessened" appears 1 times
"preponderating" appears 1 times
"pine" appears 1 times
"glued" appears 1 times
"backing" appears 1 times
"encircles" appears 1 times
"tin" appears 1 times
"netting" appears 1 times
"hoop" appears 1 times
"resin" appears 1 times
"heated" appears 1 times
"fire" appears 1 times
"cooling" appears 1 times
"pattern" appears 1 times
"millboard" appears 1 times
"starch" appears 1 times
"objections" appears 1 times
"enclose" appears 1 times
"muslin" appears 1 times
"charged" appears 1 times
"finest" appears 1 times
"quality" appears 1 times
"acetic" appears 1 times
